id,titulo,autores,revista,ano,doi,pmcid,idioma,criterio_brasil,licenca,url_pdf,arquivo,status,erro
PMC10081615,Patient Safety Incidents and the second victim phenomenon among nursing students.,"Tavares APM, Barlem JGT, Pereira Rocha L, Oliveira ACC, Avelino FVSD, Paloski GDR.",,2022,10.1590/1980-220x-reeusp-2022-0005en,PMC10081615,,,cc by,https://europepmc.org/articles/PMC10081615?pdf=render,pmc10081615-patient-safety-incidents-and-the-second-victim-phenomenon-among-nursing-students.pdf,baixado,
PMC9749089,Patient safety culture and incidents recorded during nursing shift changes in intensive care units.,"Oliveira EM, Andolhe R, Padilha KG.",,2022,10.5935/0103-507x.20220446-pt,PMC9749089,,,cc by,https://europepmc.org/articles/PMC9749089?pdf=render,pmc9749089-patient-safety-culture-and-incidents-recorded-during-nursing-shift-changes-in-intensive-care-units.pdf,baixado,
PMC9886081,Nursing technicians' professional training in patient safety: A mixed-methods study.,"Rocha RC, Avelino FVSD, Borges JWP, Araújo AAC, Bezerra MAR, Nunes BMVT.",,2023,10.1590/1518-8345.6214.3819,PMC9886081,,,cc by,https://europepmc.org/articles/PMC9886081?pdf=render,pmc9886081-nursing-technicians-professional-training-in-patient-safety-a-mixed-methods-study.pdf,baixado,
PMC10868519,Patient safety culture assessment before and after safety huddle implementation.,"Moraes MVA, Almeida ÍLS, Carvalho REFL.",,2024,10.1590/1980-220x-reeusp-2023-0270en,PMC10868519,,,cc by,https://europepmc.org/articles/PMC10868519?pdf=render,pmc10868519-patient-safety-culture-assessment-before-and-after-safety-huddle-implementation.pdf,baixado,
PMC11297414,[Patient safety culture among nursing professionals in a philanthropic hospital in Minas GeraisCultura de seguridad del paciente entre los profesionales de enfermería en un hospital filantrópico de Minas Gerais].,"Vieira Magalhães E, Oliveira de Paiva F, Soares Alves ME, Cavalieri de Almeida M.",,2021,10.15649/cuidarte.1990,PMC11297414,,,cc by,https://europepmc.org/articles/PMC11297414?pdf=render,pmc11297414-patient-safety-culture-among-nursing-professionals-in-a-philanthropic-hospital-in-minas-geraiscultur.pdf,baixado,
PMC8253339,"Patient safety culture, missed Nursing care and its reasons in Obstetrics.","Silva SCD, Morais BX, Munhoz OL, Ongaro JD, Urbanetto JS, Magnago TSBS.",,2021,10.1590/1518-8345.4855.3461,PMC8253339,,,cc by,https://europepmc.org/articles/PMC8253339?pdf=render,pmc8253339-patient-safety-culture-missed-nursing-care-and-its-reasons-in-obstetrics.pdf,baixado,
10.1590/scielopreprints.678,COVID-19: CUIDADOS DE ENFERMAGEM PARA SEGURANÇA NO ATENDIMENTO DE SERVIÇO PRÉ-HOSPITALAR MÓVEL,"Marques LC, Lucca DC, Alves EO, Fernandes GCM, Nascimento KCd.",,2020,10.1590/scielopreprints.678,,,,cc by,https://europepmc.org/api/fulltextRepo?pprId=PPR459113&type=FILE&fileName=EMS178955-pdf.pdf&mimeType=application/pdf,,erro,falha apos 3 tentativas: HTTP Error 403: 
PMC7236860,Distance learning and patient safety: Report and evaluation of an online patient safety course.,"Ortega J, Cometto MC, Zárate Grajales RA, Malvárez S, Cassiani S, Falconi C, Friedeberg D, Peragallo-Montano N.",,2020,10.26633/rpsp.2020.33,PMC7236860,,,cc by-nc-nd,https://iris.paho.org/bitstream/10665.2/52083/1/v44e332020.pdf,,erro,falha apos 3 tentativas: HTTP Error 403: Forbidden
PMC7266632,Factors related to the patient safety climate in an emergency hospital.,"Castilho DEC, Silva AEBC, Gimenes FRE, Nunes RLS, Pires ACAC, Bernardes CA.",,2020,10.1590/1518-8345.3353.3273,PMC7266632,,,cc by,https://europepmc.org/articles/PMC7266632?pdf=render,pmc7266632-factors-related-to-the-patient-safety-climate-in-an-emergency-hospital.pdf,baixado,
PMC8570258,Impact of a patient safety leadership program on head nurses and clinical nurses: a quasi-experimental study.,"Xie J, Ding S, Zhang X, Li X.",,2021,10.1590/1518-8345.4328.3478,PMC8570258,,,cc by,https://europepmc.org/articles/PMC8570258?pdf=render,pmc8570258-impact-of-a-patient-safety-leadership-program-on-head-nurses-and-clinical-nurses-a-quasi-experimenta.pdf,baixado,
